"thing_name","timestamp","gateState","lastSpeedDetected","speedLimit","vehiclePassed"
"RompeMuellesIoT","1750830093714","open","16","20","null"
"RompeMuellesIoT","1750830103315","open","14","20","null"
"RompeMuellesIoT","1750830103651","open","400","20","null"
"RompeMuellesIoT","1750830107385","open","5","20","null"
"RompeMuellesIoT","1750830109349","open","16","20","null"
"RompeMuellesIoT","1750830314921","close","4","200","null"
"RompeMuellesIoT","1750830315030","close","3333","200","null"
"RompeMuellesIoT","1750830315139","close","3333","200","null"
"RompeMuellesIoT","1750830318416","close","3","20","null"
"RompeMuellesIoT","1750830321181","close","12","20","null"
"RompeMuellesIoT","1750830321289","close","3333","20","null"
"RompeMuellesIoT","1750830334451","open","4","20","null"
"RompeMuellesIoT","1750830354301","open","17","20","null"
"RompeMuellesIoT","1750830354511","open","3333","20","null"
"RompeMuellesIoT","1750830354617","open","5000","20","null"
"RompeMuellesIoT","1750830364811","open","70","20","null"
"RompeMuellesIoT","1750830364918","open","5000","20","null"
"RompeMuellesIoT","1750830372666","open","18","20","null"
"RompeMuellesIoT","1750830372774","open","5000","20","null"
"RompeMuellesIoT","1750830377545","open","6","20","null"
"RompeMuellesIoT","1750830380322","open","17","20","null"
"RompeMuellesIoT","1750830381876","open","13","20","null"
"RompeMuellesIoT","1750830384646","open","17","20","null"
"RompeMuellesIoT","1750830589577","close","14","200","null"
"RompeMuellesIoT","1750830589668","close","3333","200","null"
"RompeMuellesIoT","1750830589779","close","3333","200","null"
"RompeMuellesIoT","1750830599641","close","2","20","null"
"RompeMuellesIoT","1750830602433","close","9","20","null"
"RompeMuellesIoT","1750830609229","open","3333","20","null"
"RompeMuellesIoT","1750830620923","open","7","20","null"
"RompeMuellesIoT","1750830632810","open","5","20","null"
"RompeMuellesIoT","1750830638039","open","6","20","null"
"RompeMuellesIoT","1750830643017","open","6","20","null"
"RompeMuellesIoT","1750830643115","open","3333","20","null"
"RompeMuellesIoT","1750830658506","open","5","20","null"
"RompeMuellesIoT","1750830660928","open","12","20","null"
"RompeMuellesIoT","1750830663653","open","12","20","null"
"RompeMuellesIoT","1750831104871","close","6","200","null"
"RompeMuellesIoT","1750831113770","close","8","200","null"
"RompeMuellesIoT","1750831118708","close","10","200","null"
"RompeMuellesIoT","1750831127262","close","12","200","null"
"RompeMuellesIoT","1750831132120","close","370","200","null"
"RompeMuellesIoT","1750831137377","close","1","200","null"
"RompeMuellesIoT","1750831141650","close","5","200","null"
"RompeMuellesIoT","1750831153087","open","7","200","null"
"RompeMuellesIoT","1750831161245","open","14","200","null"
"RompeMuellesIoT","1750831165838","open","25","200","null"
"RompeMuellesIoT","1750831726515","close","4","200","null"
"RompeMuellesIoT","1750831729725","close","18","200","null"
"RompeMuellesIoT","1750831735697","close","15","200","null"
"RompeMuellesIoT","1750831738503","close","21","200","null"
"RompeMuellesIoT","1750831748833","close","18","200","null"
"RompeMuellesIoT","1750831750964","close","23","200","null"
"RompeMuellesIoT","1750831754379","close","23","200","null"
"RompeMuellesIoT","1750831760348","close","48","200","null"
"RompeMuellesIoT","1750831764176","close","5","200","null"
"RompeMuellesIoT","1750831765840","close","30","200","null"
"RompeMuellesIoT","1750831769092","close","14","200","null"
"RompeMuellesIoT","1750831771372","close","17","200","null"
